package,palette,length,type
cartography,blue.pal,20,sequential
cartography,orange.pal,20,sequential
cartography,red.pal,20,sequential
cartography,brown.pal,20,sequential
cartography,green.pal,20,sequential
cartography,purple.pal,20,sequential
cartography,pink.pal,20,sequential
cartography,wine.pal,20,sequential
cartography,grey.pal,20,sequential
cartography,turquoise.pal,20,sequential
cartography,sand.pal,20,sequential
cartography,taupe.pal,20,sequential
cartography,kaki.pal,20,sequential
cartography,harmo.pal,20,sequential
cartography,pastel.pal,20,qualitative
cartography,multi.pal,20,qualitative
ggthemes_ptol,qualitative,12,qualitative
ggthemes_solarized,yellow,8,qualitative
ggthemes_solarized,orange,8,qualitative
ggthemes_solarized,red,8,qualitative
ggthemes_solarized,magenta,8,qualitative
ggthemes_solarized,violet,8,qualitative
ggthemes_solarized,blue,8,qualitative
ggthemes_solarized,cyan,8,qualitative
ggthemes_solarized,green,8,qualitative
